"phase","prompt_tokens","completion_tokens","total_tokens","wall_s"
"judge","521","39","560","1.739"
"judge","501","39","540","1.21"
"judge","532","91","623","1.129"
"judge","519","39","558","0.611"
"judge","526","39","565","0.824"
"judge","513","39","552","0.642"
"judge","530","39","569","0.691"
"judge","533","47","580","0.758"
"judge","697","39","736","0.762"
"judge","674","39","713","0.731"
"judge","700","39","739","0.731"
"judge","659","39","698","0.74"
"judge","685","39","724","0.666"
"judge","653","39","692","0.628"
"judge","661","39","700","0.948"
"judge","694","39","733","0.771"
"judge","715","39","754","1.171"
"judge","633","39","672","0.681"
"judge","690","39","729","0.638"
"judge","710","39","749","0.757"
"judge","679","39","718","0.607"
"judge","707","39","746","0.735"
"judge","690","39","729","0.636"
"judge","706","39","745","0.686"
"judge","680","39","719","0.652"
"judge","706","39","745","0.824"
"judge","592","39","631","0.704"
"judge","583","39","622","0.884"
"judge","595","39","634","0.919"
"judge","582","39","621","0.687"
"judge","591","39","630","0.599"
"judge","486","65","551","1.17"
"judge","470","60","530","0.792"
"judge","489","73","562","1.25"
"judge","484","53","537","1.431"
"judge","475","57","532","0.923"
"judge","486","59","545","0.923"
"judge","498","62","560","0.816"
"judge","480","77","557","1.223"
"judge","477","68","545","1.022"
"judge","482","62","544","1.024"
"judge","497","63","560","0.921"
"judge","504","57","561","0.924"
"judge","515","59","574","1.102"
"judge","490","66","556","1.037"
"judge","494","63","557","1.126"
"judge","522","54","576","0.819"
"judge","493","59","552","0.817"
"judge","511","63","574","1.435"
"judge","515","72","587","1.527"
"dry_run","4344","266","4610","3.132"
"dry_run","222","8","230","0.333"
"dry_run","288","17","305","0.43"
"dry_run","601","34","635","0.701"
"dry_run","700","124","824","1.507"
"dry_run","992","54","1046","0.765"
"dry_run","4335","163","4498","2.022"
"dry_run","213","8","221","0.272"
"dry_run","279","17","296","0.41"
"dry_run","585","112","697","1.96"
"dry_run","810","78","888","1.188"
"dry_run","4357","305","4662","3.727"
"dry_run","235","8","243","0.3"
"dry_run","301","17","318","0.388"
"dry_run","629","39","668","0.651"
"dry_run","2135","137","2272","2.002"
"dry_run","1040","61","1101","0.896"
"dry_run","4347","349","4696","4.344"
"dry_run","225","8","233","0.394"
"dry_run","292","17","309","0.431"
"dry_run","612","28","640","0.556"
"dry_run","772","136","908","1.506"
"dry_run","1080","75","1155","0.946"
"dry_run","4347","424","4771","4.737"
"dry_run","225","8","233","0.269"
"dry_run","291","17","308","0.452"
"dry_run","607","39","646","0.733"
"dry_run","695","83","778","1.044"
"dry_run","895","70","965","1.02"
"dry_run","4342","428","4770","4.919"
"dry_run","220","8","228","0.339"
"dry_run","286","17","303","0.622"
"dry_run","595","39","634","0.665"
"dry_run","1044","259","1303","3.024"
"dry_run","1051","48","1099","0.757"
"dry_run","4351","287","4638","3.37"
"dry_run","232","8","240","0.337"
"dry_run","289","17","306","1.038"
"dry_run","610","42","652","0.728"
"dry_run","658","89","747","1.235"
"dry_run","850","80","930","1.148"
"dry_run","4357","274","4631","2.855"
"dry_run","257","8","265","0.37"
"dry_run","317","17","334","0.493"
"dry_run","645","39","684","0.721"
"dry_run","2070","161","2231","1.863"
"dry_run","979","54","1033","0.918"
"dry_run","4340","275","4615","3.422"
"dry_run","219","11","230","0.367"
"dry_run","240","18","258","0.541"
"dry_run","250","10","260","0.335"
"dry_run","370","97","467","1.358"
"dry_run","2409","118","2527","1.583"
"dry_run","1087","48","1135","0.783"
"dry_run","4373","132","4505","1.899"
"dry_run","284","43","327","0.859"
"dry_run","325","40","365","0.933"
"dry_run","707","36","743","0.716"
"dry_run","4337","339","4676","3.867"
"dry_run","214","10","224","0.395"
"dry_run","232","8","240","0.429"
"dry_run","288","17","305","1.027"
"dry_run","582","10","592","0.414"
"dry_run","708","27","735","0.549"
"dry_run","783","232","1015","2.55"
"dry_run","1181","57","1238","1.01"
"dry_run","4336","469","4805","5.579"
"dry_run","228","28","256","0.523"
"dry_run","238","14","252","0.424"
"dry_run","333","94","427","1.344"
"dry_run","905","63","968","1.167"
"dry_run","877","73","950","1.785"
"dry_run","4343","284","4627","3.47"
"dry_run","222","10","232","0.298"
"dry_run","242","16","258","1.053"
"dry_run","252","10","262","0.401"
"dry_run","375","98","473","1.231"
"dry_run","3160","185","3345","2.43"
"dry_run","1145","48","1193","0.714"
"dry_run","4337","183","4520","2.672"
"dry_run","221","17","238","0.454"
"dry_run","293","59","352","0.906"
"dry_run","2129","102","2231","1.317"
"dry_run","2191","58","2249","1.034"
"dry_run","912","36","948","0.78"
"dry_run","4365","74","4439","1.088"
"dry_run","270","42","312","0.731"
"dry_run","367","58","425","0.804"
"dry_run","708","36","744","0.638"
"dry_run","4342","384","4726","4.836"
"dry_run","223","12","235","0.358"
"dry_run","242","21","263","0.509"
"dry_run","255","10","265","1.366"
"dry_run","376","96","472","1.909"
"dry_run","1995","114","2109","2.133"
"dry_run","1085","48","1133","0.782"
"dry_run","4340","317","4657","4.247"
"dry_run","217","10","227","0.385"
"dry_run","235","8","243","0.378"
"dry_run","291","17","308","0.609"
"dry_run","584","10","594","0.427"
"dry_run","704","48","752","0.945"
"dry_run","1528","92","1620","1.527"
"dry_run","1068","48","1116","0.968"
"dry_run","4339","542","4881","7.777"
"dry_run","217","12","229","0.915"
"dry_run","240","21","261","0.446"
"dry_run","267","37","304","1.167"
"dry_run","2070","132","2202","2.144"
"dry_run","2040","27","2067","0.768"
"dry_run","897","44","941","1.205"
"dry_run","4344","482","4826","5.67"
"dry_run","217","2","219","0.228"
"dry_run","252","8","260","0.38"
"dry_run","324","17","341","0.343"
"dry_run","632","29","661","0.579"
"dry_run","713","43","756","0.744"
"dry_run","762","73","835","1.001"
"dry_run","1044","82","1126","1.095"
"dry_run","4368","309","4677","3.361"
"dry_run","293","58","351","0.881"
"dry_run","383","18","401","0.558"
"dry_run","455","116","571","1.458"
"dry_run","444","37","481","0.69"
"dry_run","754","80","834","3.777"
"dry_run","1128","103","1231","1.373"
"dry_run","4339","361","4700","4.427"
"dry_run","216","18","234","0.58"
"dry_run","230","8","238","0.903"
"dry_run","290","17","307","0.472"
"dry_run","598","28","626","0.636"
"dry_run","604","16","620","0.444"
"dry_run","693","84","777","1.78"
"dry_run","656","16","672","0.396"
"dry_run","724","78","802","1.024"
"dry_run","1041","78","1119","1.057"
"dry_run","4366","485","4851","5.53"
"dry_run","244","127","371","1.985"
"dry_run","257","8","265","0.34"
"dry_run","360","57","417","0.894"
"dry_run","1834","93","1927","1.869"
"dry_run","2068","177","2245","2.149"
"dry_run","1055","69","1124","0.972"
"dry_run","4344","422","4766","4.346"
"dry_run","217","7","224","0.354"
"dry_run","235","8","243","0.898"
